P(. | Mr) = -0,00224442092245228
P(with | interfered) = -0,1249387366083
P(on | preyed) = -0,1249387366083
P(Santo | Porto) = -0,1249387366083
P(in | diverge) = -0,1249387366083
P(sufficient | amply) = -0,1249387366083
P(Huber | Pierre) = -0,1249387366083
P(to | pleasing) = -0,1249387366083
P(balanced | nicely) = -0,1249387366083
P(the | illustrates) = -0,1249387366083
P(of | inflammation) = -0,1249387366083
P(womb | mother's) = -0,1249387366083
P(of | sign) = -0,1249387366083
P(Hilaire | Saint) = -0,1249387366083
P(, | toads) = -0,1249387366083
P(by | embraced) = -0,1249387366083
P(sake | convenience') = -0,1249387366083
P(systems | river) = -0,1249387366083
P(, | dandelion) = -0,1249387366083
P(on | goes) = -0,1249387366083
P(the | impresses) = -0,1249387366083
P(to | accustomed) = -0,1249387366083
P(, | coasts) = -0,1249387366083
P(of | diversities) = -0,1249387366083
P(to | liability) = -0,1249387366083
P(, | channels) = -0,1249387366083
P(. | Hon) = -0,1249387366083
P(water | Fresh) = -0,1249387366083
P(and | embed) = -0,1249387366083
P(insects | hymenopterous) = -0,1249387366083
P(in | disbelieve) = -0,1249387366083
P(of | Principles) = -0,1249387366083
P(. | deg) = -0,1249387366083
P(, | 1845) = -0,1249387366083
P(man | uncivilised) = -0,1249387366083
P(the | explaining) = -0,1249387366083
P(with | coated) = -0,1249387366083
P(of | Unity) = -0,1249387366083
P(to | trying) = -0,1249387366083
P(of | particles) = -0,1249387366083
P(of | fragment) = -0,1249387366083
P(with | compatible) = -0,1249387366083
P(of | peninsula) = -0,1249387366083
P(blue | slaty) = -0,1249387366083
P(its | ejecting) = -0,1249387366083
P(with | compete) = -0,1249387366083
P(to | clinging) = -0,1249387366083
P(of | flexibility) = -0,1249387366083
P(causa | vera) = -0,1249387366083
P(on | alight) = -0,1249387366083
P(in | involved) = -0,1249387366083
P(, | rhododendrons) = -0,1249387366083
P(of | Conditions) = -0,1249387366083
P(to | endeavouring) = -0,1249387366083
P(islands | outlying) = -0,1249387366083
P(. | P) = -0,1249387366083
P(, | p14) = -0,1249387366083
P(the | Within) = -0,1249387366083
P(in | behaved) = -0,1249387366083
P(by | tested) = -0,1249387366083
P(, | youth) = -0,1249387366083
P(of | simplicity) = -0,1249387366083
P(. | viz) = -0,1249387366083
P(, | thirdly) = -0,1249387366083
P(of | infinitude) = -0,1249387366083
P(together | tied) = -0,1249387366083
P(of | exclusion) = -0,1249387366083
P(bearers | tendril) = -0,1249387366083
P(conditions | physical) = -0,127578832774508
P(that | conclude) = -0,132625565274591
P(to | attended) = -0,132625565274591
P(of | majority) = -0,132625565274591
P(. | F) = -0,135662602000073
P(to | enabled) = -0,135662602000073
P(to | able) = -0,136582717772008
P(of | edges) = -0,138302698166281
P(Candolle | De) = -0,138302698166281
P(insects | neuter) = -0,138302698166281
P(from | hear) = -0,138302698166281
P(at | Look) = -0,138302698166281
P(to | opposition) = -0,138302698166281
P(to | respect) = -0,140618940893462
P(of | supply) = -0,141329152796469
P(on | depend) = -0,142667503568732
P(to | attached) = -0,142667503568732
P(species | representative) = -0,142667503568732
P(crosses | reciprocal) = -0,146128035678238
P(of | score) = -0,146128035678238
P(water | fresh) = -0,150644136843202
P(of | oscillations) = -0,151267675330649
P(bees | humble) = -0,151267675330649
P(America | North) = -0,152090982651915
P(of | commencement) = -0,152610163206158
P(by | accompanied) = -0,154901959985743
P(of | polity) = -0,154901959985743
P(, | secondly) = -0,154901959985743
P(of | quarter) = -0,154901959985743
P(to | attempted) = -0,154901959985743
P(, | however) = -0,155368692413151
P(selection | natural) = -0,156099280498173
P(America | South) = -0,159700842867512
P(, | instance) = -0,160784142211698
P(plants | trimorphic) = -0,1627272974977
P(that | maintain) = -0,1627272974977
P(, | Finally) = -0,1627272974977
P(, | namely) = -0,166331421766525
P(at | arrived) = -0,167491087293764
P(of | divergence) = -0,167491087293764
P(, | hand) = -0,170827019063324
P(, | papilla) = -0,176091259055681
P(of | waste) = -0,176091259055681
P(with | conformable) = -0,176091259055681
P(BEINGS | ORGANIC) = -0,176091259055681
P(on | speculation) = -0,176091259055681
P(, | ungnawed) = -0,176091259055681
P(to | appended) = -0,176091259055681
P(, | Fourthly) = -0,176091259055681
P(, | basin) = -0,176091259055681
P(their | lose) = -0,176091259055681
P(to | help) = -0,176091259055681
P(the | Compare) = -0,176091259055681
P(at | supervening) = -0,176091259055681
P(of | flakes) = -0,176091259055681
P(the | marking) = -0,176091259055681
P(the | overrate) = -0,176091259055681
P(to | n14) = -0,176091259055681
P(letters | capital) = -0,176091259055681
P(opposite | diametrically) = -0,176091259055681
P(, | q14) = -0,176091259055681
P(the | cuts) = -0,176091259055681
P(, | e14) = -0,176091259055681
P(, | Archeopteryx) = -0,176091259055681
P(ant | driver) = -0,176091259055681
P(to | Looking) = -0,176091259055681
P(Thompson | William) = -0,176091259055681
P(and | bulls) = -0,176091259055681
P(, | sharks) = -0,176091259055681
P(Variation | Correlated) = -0,176091259055681
P(saliva | inspissated) = -0,176091259055681
P(X | radius) = -0,176091259055681
P(to | opposed) = -0,176091259055681
P(or | intersected) = -0,176091259055681
P(of | wrecks) = -0,176091259055681
P(to | inability) = -0,176091259055681
P(to | habituated) = -0,176091259055681
P(cuckoo | bronze) = -0,176091259055681
P(. | hunger) = -0,176091259055681
P(instances | authentic) = -0,176091259055681
P(stages | developmental) = -0,176091259055681
P(to | attempting) = -0,176091259055681
P(in | retrograded) = -0,176091259055681
P(dogs | shepherd) = -0,176091259055681
P(parts | Homologous) = -0,176091259055681
P(, | armadillo) = -0,176091259055681
P(of | whelp) = -0,176091259055681
P(covering | dermal) = -0,176091259055681
P(slits | branchial) = -0,176091259055681
P(over | bridged) = -0,176091259055681
P(of | consequences) = -0,176091259055681
P(, | observes) = -0,176091259055681
P(history | world's) = -0,176091259055681
P(and | condensed) = -0,176091259055681
P(of | parcel) = -0,176091259055681
P(F | slavemaking) = -0,176091259055681
P(. | MM) = -0,176091259055681
P(, | August) = -0,176091259055681
P(along | flap) = -0,176091259055681
P(, | July) = -0,176091259055681
P(, | Ateuchus) = -0,176091259055681
P(, | pouters) = -0,176091259055681
P(, | paragraphs) = -0,176091259055681
P(; | Scandinavia) = -0,176091259055681
P(if | swimmers) = -0,176091259055681
P(of | adhesion) = -0,176091259055681
P(, | palpi) = -0,176091259055681
P(of | shadow) = -0,176091259055681
P(of | Appearance) = -0,176091259055681
P(proved | experimentally) = -0,176091259055681
P(, | Passiflora) = -0,176091259055681
P(up | summing) = -0,176091259055681
P(any | Scarcely) = -0,176091259055681
P(of | margins) = -0,176091259055681
P(of | consist) = -0,176091259055681
P(to | preposterous) = -0,176091259055681
P(composition | mineralogical) = -0,176091259055681
P(of | elimination) = -0,176091259055681
P(of | Action) = -0,176091259055681
P(, | trial) = -0,176091259055681
P(GLOSSARY | END) = -0,176091259055681
P(. | admiration) = -0,176091259055681
P(and | wear) = -0,176091259055681
P(THE | ON) = -0,176091259055681
P(of | distinctness) = -0,176091259055681
P(, | orchard) = -0,176091259055681
P(of | standards) = -0,176091259055681
P(shells | acorn) = -0,176091259055681
P(SELECTION | NATURAL) = -0,176091259055681
P(of | displacement) = -0,176091259055681
P(, | 57) = -0,176091259055681
P(of | ideas) = -0,176091259055681
P(. | Messrs) = -0,176091259055681
P(for | sheaths) = -0,176091259055681
P(to | refuse) = -0,176091259055681
P(of | bunch) = -0,176091259055681
P(. | intruders) = -0,176091259055681
P(, | tentacles) = -0,176091259055681
P(acid | carbolic) = -0,176091259055681
P(the | keeps) = -0,176091259055681
P(idea | inadequate) = -0,176091259055681
P(of | intention) = -0,176091259055681
P(, | immigrate) = -0,176091259055681
P(, | ruminant) = -0,176091259055681
P(root | paint) = -0,176091259055681
P(union | improper) = -0,176091259055681
P(itself | reproduces) = -0,176091259055681
P(by | misled) = -0,176091259055681
P(for | mated) = -0,176091259055681
P(to | applies) = -0,176091259055681
P(the | Take) = -0,176091259055681
P(and | Crosses) = -0,176091259055681
P(horses | swifter) = -0,176091259055681
P(, | Dianthus) = -0,176091259055681
P(of | alliance) = -0,176091259055681
P(, | cotyledons) = -0,176091259055681
P(. | Fuci) = -0,176091259055681
P(the | govern) = -0,176091259055681
P(systems | vegetative) = -0,176091259055681
P(by | occupied) = -0,176091259055681
P(de | Rio) = -0,176091259055681
P(, | finches) = -0,176091259055681
P(evidence | conclusive) = -0,176091259055681
P(me | incline) = -0,176091259055681
P(other | Innumerable) = -0,176091259055681
P(pollen | receiving) = -0,176091259055681
P(, | Hildebrand) = -0,176091259055681
P(surface | stigmatic) = -0,176091259055681
P(of | effects) = -0,176091259055681
P(will | Systematists) = -0,176091259055681
P(of | concurrence) = -0,176091259055681
P(cattle | Hereford) = -0,176091259055681
P(of | Lapse) = -0,176091259055681
P(by | confirmed) = -0,176091259055681
P(evidence | clearest) = -0,176091259055681
P(of | largeness) = -0,176091259055681
P(, | Italy) = -0,176091259055681
P(to | intending) = -0,176091259055681
P(, | rats) = -0,176091259055681
P(is | nectary) = -0,176091259055681
P(Land | Kerguelen) = -0,176091259055681
P(on | hit) = -0,176091259055681
P(to | incompetent) = -0,176091259055681
P(or | Ungulata) = -0,176091259055681
P(it | immersed) = -0,176091259055681
P(of | homologue) = -0,176091259055681
P(cattle | Niata) = -0,176091259055681
P(greyhound | Italian) = -0,176091259055681
P(the | counterbalance) = -0,176091259055681
P(Knight | Andrew) = -0,176091259055681
P(Wright | Chauncey) = -0,176091259055681
P(to | unreasonable) = -0,176091259055681
P(of | Out) = -0,176091259055681
P(, | Germany) = -0,176091259055681
P(the | governs) = -0,176091259055681
P(to | due) = -0,176091259055681
P(boulders | erratic) = -0,176091259055681
P(of | fold) = -0,176091259055681
P(for | searching) = -0,176091259055681
P(so | bevelled) = -0,176091259055681
P(the | sift) = -0,176091259055681
P(of | indications) = -0,176091259055681
P(, | bristles) = -0,176091259055681
P(into | frayed) = -0,176091259055681
P(period | coldest) = -0,176091259055681
P(to | transversely) = -0,176091259055681
P(than | sharper) = -0,176091259055681
P(beginnings | infinitesimal) = -0,176091259055681
P(, | lenses) = -0,176091259055681
P(of | regularity) = -0,176091259055681
P(livia | Columba) = -0,176091259055681
P(lens | crystalline) = -0,176091259055681
P(that | suggests) = -0,176091259055681
P(to | adhere) = -0,176091259055681
P(, | Mauritius) = -0,176091259055681
P(a | tantot) = -0,176091259055681
P(, | possessors) = -0,176091259055681
P(Lankester | Ray) = -0,176091259055681
P(coloured | gaily) = -0,176091259055681
P(of | reception) = -0,176091259055681
P(is | longevity) = -0,176091259055681
P(to | preparing) = -0,176091259055681
P(, | Tasmania) = -0,176091259055681
P(conclusion | Croll's) = -0,176091259055681
P(to | endeavour) = -0,176091259055681
P(Islands | Falkland) = -0,176091259055681
P(with | associated) = -0,176091259055681
P(. | lung) = -0,176091259055681
P(of | gape) = -0,176091259055681
P(, | galls) = -0,176091259055681
P(. | heels) = -0,176091259055681
P(Brown | Robert) = -0,176091259055681
P(of | Inhabitants) = -0,176091259055681
P(. | innovation) = -0,176091259055681
P(. | Seychelles) = -0,176091259055681
P(, | bulldog) = -0,176091259055681
P(of | drops) = -0,176091259055681
P(de | Auguste) = -0,176091259055681
P(of | eccentricity) = -0,176091259055681
P(birds | wading) = -0,176091259055681
P(, | deliberation) = -0,176091259055681
P(, | Catasetum) = -0,176091259055681
P(immigrants | unmodified) = -0,176091259055681
P(of | closure) = -0,176091259055681
P(Po | Fernando) = -0,176091259055681
P(in | prodigal) = -0,176091259055681
P(of | Gulf) = -0,176091259055681
P(, | Guinea) = -0,176091259055681
P(with | lobes) = -0,176091259055681
P(, | Bartlett) = -0,176091259055681
P(, | storks) = -0,176091259055681
P(, | oat) = -0,176091259055681
P(the | reproduce) = -0,176091259055681
P(of | ancestors) = -0,176091259055681
P(to | obedience) = -0,176091259055681
P(of | recapitulation) = -0,176091259055681
P(, | shake) = -0,176091259055681
P(of | departments) = -0,176091259055681
P(of | remnant) = -0,176091259055681
P(of | foals) = -0,176091259055681
P(of | peduncles) = -0,176091259055681
P(, | ponies) = -0,176091259055681
P(for | allowance) = -0,176091259055681
P(of | incapacity) = -0,176091259055681
P(can | Who) = -0,176091259055681
P(birds | predaceous) = -0,176091259055681
P(cart | Belgian) = -0,176091259055681
P(. | seashore) = -0,176091259055681
P(, | opossums) = -0,176091259055681
P(; | caudicles) = -0,176091259055681
P(facts | Analogous) = -0,176091259055681
P(to | proposes) = -0,176091259055681
P(constructed | elaborately) = -0,176091259055681
P(that | dispute) = -0,176091259055681
P(of | notion) = -0,176091259055681
P(DISTRIBUTION | GEOGRAPHICAL) = -0,176091259055681
P(of | peaks) = -0,176091259055681
P(, | unaffected) = -0,176091259055681
P(of | deficiency) = -0,176091259055681
P(by | advocated) = -0,176091259055681
P(, | worthless) = -0,176091259055681
P(to | exaggeration) = -0,176091259055681
P(the | approximately) = -0,176091259055681
P(of | framework) = -0,176091259055681
P(, | Pyrgoma) = -0,176091259055681
P(, | daisy) = -0,176091259055681
P(down | shuts) = -0,176091259055681
P(by | regulated) = -0,176091259055681
P() | major) = -0,176091259055681
P(of | chinks) = -0,176091259055681
P(prehensile | structurally) = -0,176091259055681
P(miles | 900) = -0,176091259055681
P(from | Judging) = -0,176091259055681
P(, | Furthermore) = -0,176091259055681
P(major | Parus) = -0,176091259055681
P(of | intestines) = -0,176091259055681
P(of | inflection) = -0,176091259055681
P(. | auks) = -0,176091259055681
P(aberration | chromatic) = -0,176091259055681
P(, | confess) = -0,176091259055681
P(, | soles) = -0,176091259055681
P(of | Causes) = -0,176091259055681
P(from | depart) = -0,176091259055681
P(by | cheeked) = -0,176091259055681
P(stems | thickened) = -0,176091259055681
P(floated | 18) = -0,176091259055681
P(to | referred) = -0,176091259055681
P(of | crowd) = -0,176091259055681
P(objections | miscellaneous) = -0,176091259055681
P(territory | neutral) = -0,176091259055681
P(defined | sharply) = -0,176091259055681
P(together | linked) = -0,176091259055681
P(to | ventured) = -0,176091259055681
P(tract | hilly) = -0,176091259055681
P(many | removes) = -0,176091259055681
P(Beings | Organic) = -0,176091259055681
P(, | occasions) = -0,176091259055681
P(of | expanse) = -0,176091259055681
P(, | pedicellaria) = -0,176091259055681
P(passage | nasal) = -0,176091259055681
P(on | holders) = -0,176091259055681
P(in | niggard) = -0,176091259055681
P(of | concentration) = -0,176091259055681
P(to | chanced) = -0,176091259055681
P(to | advisable) = -0,176091259055681
P(, | snails) = -0,176091259055681
P(of | web) = -0,176091259055681
P(to | relatively) = -0,176091259055681
P(of | totality) = -0,176091259055681
P(of | multiples) = -0,176091259055681
P(the | altering) = -0,176091259055681
P(Genera | Larger) = -0,176091259055681
P(favourable | Circumstances) = -0,176091259055681
P(of | Relations) = -0,176091259055681
P(than | easier) = -0,176091259055681
P(, | Staffordshire) = -0,176091259055681
P(of | speaking) = -0,176091259055681
P(of | acres) = -0,176091259055681
P(eye | uneducated) = -0,176091259055681
P(, | plantations) = -0,176091259055681
P(, | Yorkshire) = -0,176091259055681
P(has | Fries) = -0,176091259055681
P(to | clings) = -0,176091259055681
P(, | PERIOD) = -0,176091259055681
P(that | credible) = -0,176091259055681
P(for | excused) = -0,176091259055681
P(, | FISHES) = -0,176091259055681
P(, | ROCKS) = -0,176091259055681
P(the | observing) = -0,176091259055681
P(. | Col) = -0,176091259055681
P(animals | canine) = -0,176091259055681
P(, | accidents) = -0,176091259055681
P(the | depress) = -0,176091259055681
P(, | matched) = -0,176091259055681
P(by | frequented) = -0,176091259055681
P(us | tells) = -0,176091259055681
P(, | tubers) = -0,176091259055681
P(that | premise) = -0,176091259055681
P(the | cultivating) = -0,176091259055681
P(in | rich) = -0,176091259055681
P(, | ANIMALS) = -0,176091259055681
P(robur | Quercus) = -0,176091259055681
P(shells | brachiopod) = -0,176091259055681
P(for | Adapted) = -0,176091259055681
P(to | striving) = -0,176091259055681
P(crustaceans | Brazilian) = -0,176091259055681
P(of | perpetuation) = -0,176091259055681
P(for | room) = -0,176091259055681
P(, | Practically) = -0,176091259055681
P(insects | coleopterous) = -0,176091259055681
P(to | trusting) = -0,176091259055681
P(of | Ratio) = -0,176091259055681
P(on | commenting) = -0,176091259055681
P(mind | reader's) = -0,176091259055681
P(of | interior) = -0,176091259055681
P(, | STAGE) = -0,176091259055681
P(of | expense) = -0,176091259055681
P(, | senses) = -0,176091259055681
P(sense | technical) = -0,176091259055681
P(for | reserve) = -0,176091259055681
P(the | clothe) = -0,176091259055681
P(of | discrimination) = -0,176091259055681
P(of | shores) = -0,182930683585987
P(islands | oceanic) = -0,186310424237367
P(of | quarters) = -0,187086643357144
P(at | looked) = -0,189056236220049
P(the | On) = -0,189319524789436
P(of | beasts) = -0,191885526238913
P(by | informed) = -0,191885526238913
P(off | branched) = -0,191885526238913
P(feet | webbed) = -0,191885526238913
P(by | measured) = -0,191885526238913
P(organised | lowly) = -0,191885526238913
P(of | possession) = -0,191885526238913
P(of | members) = -0,194802222775285
P(the | along) = -0,196294645143968
P(on | seize) = -0,199572354905204
P(of | number) = -0,200826454771473
P(to | attributed) = -0,200914842780713
P(to | confined) = -0,20242019777803
P(that | indicate) = -0,204119982655925
P(of | abortion) = -0,204119982655925
P(the | alter) = -0,204119982655925
P(of | advancement) = -0,204119982655925
P(, | paper) = -0,204119982655925
P(water | salt) = -0,204119982655925
P(of | uniformity) = -0,204119982655925
P(with | meet) = -0,204119982655925
P(distinct | specifically) = -0,204119982655925
P(by | surrounded) = -0,204119982655925
P(, | France) = -0,204119982655925
P(with | charged) = -0,204119982655925
P(species | undoubted) = -0,204119982655925
P(rate | quicker) = -0,204119982655925
P(of | partake) = -0,204119982655925
P(of | pairs) = -0,204119982655925
P(that | supposes) = -0,204119982655925
P(of | sorts) = -0,204119982655925
P(of | thousands) = -0,208275942427082
P(into | converted) = -0,208275942427082
P(of | accumulation) = -0,209259622308336
P(animals | vertebrate) = -0,210853365314893
P(tumbler | faced) = -0,210853365314893
P(to | endeavoured) = -0,210853365314893
P(to | revert) = -0,210853365314893
P(of | production) = -0,2120889123272
P(of | presence) = -0,212608092881444
P(of | member) = -0,213879819945081
P(, | concerned) = -0,213879819945081
P(that | suppose) = -0,214843848047698
P(formations | consecutive) = -0,215599800339355
P(of | power) = -0,218991538771876
P(of | consists) = -0,221848749616356
P(of | doctrine) = -0,221848749616356
P(to | reason) = -0,221848749616356
P(period | Glacial) = -0,225309281725863
P(to | tends) = -0,226396377367077
P(of | bed) = -0,230448921378274
P(, | intercross) = -0,234083206033368
P(on | dependent) = -0,234083206033368
P(that | suspect) = -0,234083206033368
P(of | deviation) = -0,234083206033368
P(of | succession) = -0,234083206033368
P(by | governed) = -0,234083206033368
P(on | experimented) = -0,234083206033368
P(to | unable) = -0,234083206033368
P(for | account) = -0,238239165804526
P(of | sake) = -0,238882088915137
P(the | beneath) = -0,238882088915137
P(, | remarked) = -0,239222845685779
P(the | represents) = -0,243038048686294
P(, | juice) = -0,243038048686294
P(of | edge) = -0,243038048686294
P(wall | rough) = -0,243038048686294
P(, | Fuego) = -0,243038048686294
P(to | reference) = -0,243038048686294
P(judges | competent) = -0,243038048686294
P(, | rivers) = -0,243038048686294
P(, | latitudes) = -0,243038048686294
P(places | halting) = -0,243038048686294
P(the | Perhaps) = -0,243038048686294
P(from | nourishment) = -0,243038048686294
P(for | fitted) = -0,243038048686294
P(period | Pliocene) = -0,243038048686294
P(graduated | finely) = -0,243038048686294
P(to | reversions) = -0,243038048686294
P(of | multiplication) = -0,243038048686294
P(else | nowhere) = -0,243038048686294
P(by | replaced) = -0,243038048686294
P(fir | Scotch) = -0,243038048686294
P(how | understanding) = -0,243038048686294
P(to | ceased) = -0,243038048686294
P(by | influenced) = -0,243038048686294
P(from | start) = -0,243038048686294
P(through | gliding) = -0,243038048686294
P(the | lessen) = -0,243038048686294
P(generation | thousandth) = -0,243038048686294
P(Poole | Colonel) = -0,243038048686294
P(that | concluding) = -0,243038048686294
P(of | attraction) = -0,243038048686294
P(, | 2) = -0,243038048686294
P(, | months) = -0,243038048686294
P(to | relation) = -0,245727187197076
P(, | bat) = -0,247784483710756
P(of | inhabitants) = -0,24926708030951
P(beings | organic) = -0,249588617547885
P(, | lastly) = -0,2498774732166
P(and | vigour) = -0,2498774732166
P(that | objected) = -0,2498774732166
P(from | derived) = -0,2498774732166
P(plants | flowering) = -0,2498774732166
P(bee | hive) = -0,251056020702143
P(with | compared) = -0,2518119729938
P(of | standard) = -0,252725316089426
P(of | chance) = -0,255272505103306
P(of | grades) = -0,255272505103306
P(, | tissue) = -0,255272505103306
P(up | sum) = -0,255272505103306
P(at | arrive) = -0,255272505103306
P(that | convinced) = -0,258278015243031
P(to | belong) = -0,258278015243031
P(of | idea) = -0,259637310505756
P(Britain | Great) = -0,259637310505756
P(to | difficult) = -0,260912772455999
P(to | subjected) = -0,260912772455999
P(to | forced) = -0,263241434774581
P(with | contrast) = -0,263241434774581
P(the | comparing) = -0,263241434774581
P(of | confines) = -0,263241434774581
P(to | Turning) = -0,263241434774581
P(to | nearer) = -0,263241434774581
P(of | imperfection) = -0,263241434774581
P(affinity | systematic) = -0,263241434774581
P(with | met) = -0,263241434774581
P(on | insisted) = -0,266267889404769
P(of | process) = -0,268237482267674
P(organs | electric) = -0,26884531229258
P(of | duration) = -0,26884531229258
P(. | possessor) = -0,26884531229258
P(to | said) = -0,271474752102265
P(of | course) = -0,272384814214451
P(good | holds) = -0,273001272063738
P(of | occurrence) = -0,273001272063738
P(that | aware) = -0,273001272063738
P(of | chain) = -0,273001272063738
P(offspring | mongrel) = -0,273001272063738
P(of | division) = -0,274701056941632
P(, | Archipelago) = -0,274701056941632
P(for | struggle) = -0,276206411938949
P(of | portion) = -0,278753600952829
P(to | return) = -0,278753600952829
P(to | attempt) = -0,278753600952829
P(that | infer) = -0,282546589969968
P(of | diversity) = -0,283996656365201
P(of | base) = -0,283996656365201
P(not | need) = -0,283996656365201
P(of | principle) = -0,286306738843275
P(to | impossible) = -0,287241711178348
P(with | comparison) = -0,291484677757751
P(to | related) = -0,292256071356476
P(that | believe) = -0,292256071356476
P(drop | limpid) = -0,301029995663981
P(as | effectively) = -0,301029995663981
P(interesting | Agassiz's) = -0,301029995663981
P(in | tribes) = -0,301029995663981
P(or | presumptive) = -0,301029995663981
